Course Code,Course,Institution,Level,Topic,Participant,Pre,Post,Difference,Pre Duration (seconds),Post Duration (seconds)
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,70,5,11.5,6.5,711,1314
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,71,7.5,7.5,0,3537,2092
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,72,8.5,9.5,1,1015,49079
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,73,4.5,9.5,5,531,796
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,74,7.5,10,2.5,332,2205
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,75,5,10.5,5.5,1253,1553
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,76,6.5,7.5,1,1391,767
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,77,3,2,-1,352,369
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,78,9.5,12,2.5,526,480
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,79,6,7.5,1.5,593,654
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,80,7,9.5,2.5,467,612
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,81,3.5,7.5,4,824,915
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,82,3.5,8,4.5,842,599
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,83,8.5,9,0.5,779,628
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,84,7.5,9.5,2,643,478
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,85,10,11.5,1.5,600,613
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,86,7,10.5,3.5,547,431
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,87,4.5,5,0.5,498,435
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,88,4,4.5,0.5,146,97
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,89,6,10.5,4.5,666,715
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,90,2,8,6,275,359
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,91,5,9,4,873,736
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,92,5,9,4,399,489
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,93,2.5,8.5,6,715,517
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,94,0.5,7.5,7,274,465
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,95,2,3,1,338,193
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,96,5,11,6,619,704
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,97,7.5,9,1.5,630,515
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,98,4,4,0,552,1075
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,99,5.5,11,5.5,763,1231
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,100,5,9,4,669,902
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,101,6,10,4,561,305
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,102,7.5,9,1.5,405,341
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,103,5.5,10,4.5,694,760
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,104,8.5,12,3.5,491,533
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,105,-0.5,7,7.5,356,559
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,106,5,4.5,-0.5,150,749
F19_WPI,Bioinfo_and_Comp_Bio,1R,lower,Bioinformatics and Computational Biology,107,2,3,1,453,342
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,108,5.5,7.5,2,605,444
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,109,3.5,9.5,6,718,3539
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,110,9.5,12,2.5,653,523
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,111,4,12,8,8158,1184
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,112,4,7.5,3.5,372,981
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,113,6,10,4,547,1023
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,114,3,5,2,1541,538
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,115,2.5,8,5.5,716,1196
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,116,2,9,7,589,872
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,117,4,9,5,598,1031
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,118,5,10,5,482,500
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,119,7,11,4,766,2004
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,120,2,6,4,72288,2209
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,121,7,7.5,0.5,496,555
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,122,5.5,5.5,0,494,439
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,123,6,8.5,2.5,591,665
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,124,8,7.5,-0.5,658,484
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,125,4,4,0,497,469
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,126,1,7,6,712,1082
S19_ASU,PUI_Gen_Bio,PUI,lower,1General Biology,127,5,8,3,551,392
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,128,0.5,2.5,2,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,129,7,10.5,3.5,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,130,5,6,1,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,131,2,5,3,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,132,4.5,9.5,5,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,133,5,5,0,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,134,8.5,10,1.5,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,135,6.5,9.5,3,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,136,4.5,9.5,5,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,137,6.5,9.5,3,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,138,5.5,12.5,7,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,139,4.5,9,4.5,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,140,3,5,2,NA,NA
S19_ECSU,Dev_Bio,PUI,upper,Developmental Biology,141,5.5,7.5,2,NA,NA
S19_FS,Mol_Biotech_S19,PUI,upper,Molecular Biotechnology,142,2.5,6.5,4,310,1037
S19_FS,Mol_Biotech_S20,PUI,upper,Molecular Biotechnology,143,5.5,11,5.5,3244,598
S19_FS,Mol_Biotech_S21,PUI,upper,Molecular Biotechnology,144,6,7.5,1.5,874,963
S19_FS,Mol_Biotech_S22,PUI,upper,Molecular Biotechnology,145,5,6.5,1.5,810,487
S19_FS,Mol_Biotech_S23,PUI,upper,Molecular Biotechnology,146,3.5,9.5,6,774,1025
S19_FS,Mol_Biotech_S24,PUI,upper,Molecular Biotechnology,147,4.5,11.5,7,838,630
S19_FS,Mol_Biotech_S25,PUI,upper,Molecular Biotechnology,148,5,9.5,4.5,859,771
